Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Data Engineer,Andela,"Cairo, Egypt",2 days ago,Full Time - Freelance / Project - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 9 Yrs of Exp  Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software Data Science Data,https://wuzzuf.net/jobs/p/AzlyfhO4TiE4-Data-Engineer-Andela-Cairo-Egypt?o=1&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst / Senior Data Analyst / Data Architect,National System LLC,"New Cairo, Cairo, Egypt",8 days ago,Full Time,Experienced · Banking · Analyst/Research · 2+ Yrs of Exp Analysis Analyst Architecture Architect  Data Analysis Data · Analysis Data Analyst Senior Data Analyst Data Architecture Data Architect Data Science,https://wuzzuf.net/jobs/p/y7LpQDPafNJr-Data-Analyst-Senior-Data-Analyst-Data-Architect-National-System-LLC-Cairo-Egypt?o=2&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Engineer,Kalasko,"Hurghada, Red Sea, Egypt",23 hours ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp Engineering · Agile · Information Technology (IT) Data Engineering · Git · SQL · DevOps · Azure · AWS,https://wuzzuf.net/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=3&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,Egybell,"Smart Village, Giza, Egypt",3 days ago,Full Time,Experienced · Analyst/Research · 5 - 10 Yrs of Exp Analysis Management Data · Analysis Data Analysis Data Management Computer Science,https://wuzzuf.net/jobs/p/p38eXkxTOZyp-Data-Analyst-Egybell-Giza-Egypt?o=4&l=sp&t=sj&a=data%20science|search-v3|hpb
Operational Data Administrator,International Advanced,"Nasr City, Cairo, Egypt",6 days ago,Full Time,Experienced · Administration · Operations/Management · 4 - 8 Yrs of Exp Entry · Administration Computer Science · Engineering · Management · Operations · Software Engineering · Software Data Entry,https://wuzzuf.net/jobs/p/DGMwy7eTiMSv-Operational-Data-Administrator-International-Advanced-Cairo-Egypt?o=5&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Management Specialist,M.Srour,"Imbaba, Giza, Egypt",5 days ago,Full Time,Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 0 - 2 Yrs of Exp Entry Analysis · Information Technology (IT) · Microsoft Excel Data Entry Data Analysis · Microsoft Office · Business Analysis Computer Science,https://wuzzuf.net/jobs/p/owHHtYyL6L6t-Data-Management-Specialist-M-Srour-Giza-Egypt?o=6&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,GPS,"Nozha, Cairo, Egypt",1 day ago,Full Time,Experienced · Analyst/Research · 5+ Yrs of Exp Analysis · Analysis · analytical Data Analysis · Reporting Computer Science · English · MS Office,https://wuzzuf.net/jobs/p/vNez1Astsgfw-Data-Analyst-GPS-Cairo-Egypt?o=7&l=sp&t=sj&a=data%20science|search-v3|hpb
Java Competence Lead (Java/Big Data Unit),Sceel.io,"Maadi, Cairo, Egypt",2 days ago,Full Time - Work From Home,Manager · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp · Java Programming Computer Science · Software Development · Information Technology (IT) · Java · Programming · Software · Testing,https://wuzzuf.net/jobs/p/gzn0vNbgbB7h-Java-Competence-Lead-JavaBig-Data-Unit-Sceel-io-Cairo-Egypt?o=8&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Engineer ( Electrical - Communication),ARROW Electronics,"Banha, Qalubia, Egypt",2 days ago,Full Time,Entry Level · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · 0 - 1 Yrs of Exp · Engineering Arrow Data · Software · Microsoft Office · Communication Engineering · Electrical Engineering · Supplier Validation · Search Management,https://wuzzuf.net/jobs/p/4oYcwwWLByrJ-Data-Engineer-Electrical---Communication-ARROW-Electronics-Qalubia-Egypt?o=9&l=sp&t=sj&a=data%20science|search-v3|hpb
Test Automation Engineer (Big Data),Sceel.io,"Maadi, Cairo, Egypt",8 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 3 - 7 Yrs of Exp · Java · API · DevOps · Git · Software Testing · Automation Testing · Selenium,https://wuzzuf.net/jobs/p/ZmIE2Odoxgym-Test-Automation-Engineer-Big-Data-Sceel-io-Cairo-Egypt?o=10&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Center Engineer,Perfect Presentation,"6th of October, Giza, Egypt",9 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5+ Yrs of Exp · Computer Engineering Computer Science · Engineering · Information Technology (IT) · Troubleshooting · Vmware · Storage,https://wuzzuf.net/jobs/p/WX9wQFPOcXE7-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=11&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics,"Berlin, Germany",16 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 4 - 12 Yrs of Exp  · Machine Learning Data Science · Python · SQL Data Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=12&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Scientist,Maxab,"Maadi, Cairo, Egypt",17 days ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 2 - 4 Yrs of Exp  Analysis Data Science · Python · Tableau Computer Science · Information Technology (IT) Data Analysis Big Data Analytics,https://wuzzuf.net/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=13&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Data Analyst,Maxab,"Maadi, Cairo, Egypt",17 days ago,Full Time,Experienced · Analyst/Research · 3 - 5 Yrs of Exp Analysis · Analysis · analytical · business Computer Science Data Analysis · Economics · Management · Reporting · SQL,https://wuzzuf.net/jobs/p/k9UG5aFpwmJp-Senior-Data-Analyst-Maxab-Cairo-Egypt?o=14&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,Andalusia Maadi Hospital,"Cairo, Egypt",17 days ago,Full Time,Entry Level · Analyst/Research · 0 - 2 Yrs of Exp Analyst Analysis · Analysis Data Computer Science Data Analyst Data Analysis · Analyst · excel,https://wuzzuf.net/jobs/p/agTOmI4WSkHv-Data-Analyst-Andalusia-Maadi-Hospital-Cairo-Egypt?o=15&l=sp&t=sj&a=data%20science|search-v3|hpb
Security Engineer – Data & Analytics (Work From Home),SSC Egypt,"Cairo, Egypt",19 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5+ Yrs of Exp · Computer Engineering Computer Science · Analytics · Engineering Data · Information Technology (IT) · Security · CISA,https://wuzzuf.net/jobs/p/iqeZWv0TT6TG-Security-Engineer-%E2%80%93-Data-Analytics-Work-From-Home-SSC-Egypt-Cairo-Egypt?o=16&l=sp&t=sj&a=data%20science|search-v3|hpb
Processing Officer (Science Graduates),NEXtCARE,"New Cairo, Cairo, Egypt",18 days ago,Full Time - Shift Based,Experienced · Administration · R&D/Science · 2+ Yrs of Exp Entry Processor Science · Health Care · Insurance Data Entry · Veterinary Data Processor · English · Administration,https://wuzzuf.net/jobs/p/WjxDRbMh6PaE-Processing-Officer-Science-Graduates-NEXtCARE-Cairo-Egypt?o=17&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Big Data Engineers,BBIConsultancy,"Abu Dhabi, United Arab Emirates",22 days ago,Full Time - Work From Home,Experienced · Banking · IT/Software Development · Engineering - Telecom/Technology · 7 - 10 Yrs of Exp  Big Data Data Science · Python · Kafka · Spark,https://wuzzuf.net/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=18&l=sp&t=sj&a=data%20science|search-v3|hpb
