Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Java Competence Lead (Java/Big Data Unit),Sceel.io,"Maadi, Cairo, Egypt",2 days ago,Full Time - Work From Home,Manager · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp Programming Java Programming · Computer Science · Software Development · Information Technology (IT) Java · Programming · Software · Testing,https://wuzzuf.net/jobs/p/gzn0vNbgbB7h-Java-Competence-Lead-JavaBig-Data-Unit-Sceel-io-Cairo-Egypt?o=1&l=sp&t=sj&a=java|search-v3|hpb
Sr. Java Developer,Advansys ESC,"Nasr City, Cairo, Egypt",3 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp developer Java Javadeveloper SeniorJavaDeveloper · Node.js · MongoDB · J2EE · SQL · NoSQL,https://wuzzuf.net/jobs/p/vhzVRNGM9lRU-Sr-Java-Developer-Advansys-ESC-Cairo-Egypt?o=2&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,Beshara,"Cairo, Egypt",1 day ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp Script · Computer Science · Information Technology (IT) JavaScript · Software Development · Web Development · Oracle · Agile · CSS,https://wuzzuf.net/jobs/p/Am1Vsj6oJl7Z-Java-Developer-Beshara-Cairo-Egypt?o=3&l=sp&t=sj&a=java|search-v3|hpb
Junior Java Developer,STC Solutions  Egypt,"Cairo, Egypt",1 day ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 3 Yrs of Exp Java · NoSQL · Spring Boot · Spring · Software Development · Information Technology (IT) · MySQL · NoSQL Database,https://wuzzuf.net/jobs/p/mDPYqqRPXhtq-Junior-Java-Developer-STC-Solutions---Egypt-Cairo-Egypt?o=4&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer / Microservices,Advansys ESC,"Nasr City, Cairo, Egypt",5 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 10 Yrs of Exp Java · Computer Science · Software Development · Microservices · English · Information Technology (IT) · Science,https://wuzzuf.net/jobs/p/6Q4RypGFhCDW-Senior-Java-Developer-Microservices-Advansys-ESC-Cairo-Egypt?o=5&l=sp&t=sj&a=java|search-v3|hpb
Java Fullstack Developer,Advansys ESC,"Nasr City, Cairo, Egypt",5 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 4 Yrs of Exp · Information Technology (IT) · Computer Science · HTML Java · Js · Science · Software Development · English,https://wuzzuf.net/jobs/p/cYRPkwuuXg89-Java-Fullstack-Developer-Advansys-ESC-Cairo-Egypt?o=6&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,DBS,"New Cairo, Cairo, Egypt",8 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp · Development · Information Technology (IT) Java · Software · Programming · Computer Engineering · Computer Science · Software Development,https://wuzzuf.net/jobs/p/Q3yxspihIFUh-Senior-Java-Developer-DBS-Cairo-Egypt?o=7&l=sp&t=sj&a=java|search-v3|hpb
Java Developer (Cairo),Informatique Education,"Cairo, Egypt",24 hours ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp · Computer Engineering · Computer Science · Information Technology (IT) Java · OOP · Software Development · Angular · Engineering,https://wuzzuf.net/jobs/p/9vpK0I6giPr2-Java-Developer-Cairo-Informatique-Education-Cairo-Egypt?o=8&l=sp&t=sj&a=java|search-v3|hpb
Java tech lead,A1Softech,"New Cairo, Cairo, Egypt",9 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 8+ Yrs of Exp Java · Lead · team lead · Computer Science · Information Technology (IT) · Spring · Agile · Software Development,https://wuzzuf.net/jobs/p/NPIf6hAsZNHz-Java-tech-lead-A1Softech-Cairo-Egypt?o=9&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,axispay,"Downtown, Cairo, Egypt",8 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 3 Yrs of Exp · Computer Science · Software Engineering · Engineering · Agile · XML · Information Technology (IT) Java · Software Development,https://wuzzuf.net/jobs/p/qjLbWJ4W6clO-Java-Developer-axispay-Cairo-Egypt?o=10&l=sp&t=sj&a=java|search-v3|hpb
