Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Automation Test Engineer (Python),Sceel.io,"Maadi, Cairo, Egypt",4 hours ago,Full Time - Work From Home,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 3 - 5 Yrs of Exp · Software Testing Python · Automation Testing · Automation · Computer Science · English · Information Technology (IT),https://wuzzuf.net/jobs/p/0hobAOFZd3P7-Automation-Test-Engineer-Python-Sceel-io-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Andela,"Cairo, Egypt",3 hours ago,Full Time - Freelance / Project - Work From Home,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 5 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software Python · Technical Support,https://wuzzuf.net/jobs/p/DwrB49VUiLzT-Python-Developer-Andela-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,FlairsTech,"Cairo, Egypt",13 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3 - 5 Yrs of Exp Python · Flask · Docker · AWS · Django · React.js · Angular · Software Development,https://wuzzuf.net/jobs/p/ItXgcrG6BIJb-Python-Developer-FlairsTech-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Software QA/Automation Engineer [Python],FlairsTech,"Cairo, Egypt",15 days ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance Python · Software,https://wuzzuf.net/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Anspire Agency,"New Cairo, Cairo, Egypt",16 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp · Agile · API · Computer Science · Database · Cloud · Information Technology (IT) · OpenERP · PostgreSQL,https://wuzzuf.net/jobs/p/K2CdXSbbloh8-Python-Developer-Anspire-Agency-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Senior Quality Automation Engineer [Python],FlairsTech,"Maadi, Cairo, Egypt",19 days ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · IT Python,https://wuzzuf.net/jobs/p/oEVyeZLP74Kw-Senior-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend (Python) Engineer - Customer Domain,Nana,"Sheraton, Cairo, Egypt",21 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 8 Yrs of Exp Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science,https://wuzzuf.net/jobs/p/MXDCoyyIgDMW-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer (Python),Dafater,"Nasr City, Cairo, Egypt",15 days ago,Full Time,Experienced · Business Development · IT/Software Development · Engineering - Telecom/Technology · 3 - 5 Yrs of Exp · Computer Science · CSS · Git · HTML · Information Technology (IT) · jQuery · MySQL,https://wuzzuf.net/jobs/p/yA0vlccHlpwk-Senior-Backend-Developer-Python-Dafater-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer - Focused on Cloud Automation,GIG Tech,"Cairo, Egypt",22 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp · Cloud · Bash · Linux · PowerShell Python · qemu · terraform · ansible,https://wuzzuf.net/jobs/p/bQD0rsJgHYLu-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Engineer,Brainology,"Cairo, Egypt",25 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 7+ Yrs of Exp Python · Computer Science · Information Technology (IT) · Engineering · Software Development,https://wuzzuf.net/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
